Instance,Available_Camps,Available_IDP_Camps,Total_Available_Places
myanmar2017_demo,Cox's Bazar,"Sittwe, Pauktaw, Myebon, Maungdaw, Kyauktaw, Kyaukpyu, Rathedaung, Ramree",11
myanmar2017_network,Cox's Bazar,"Sittwe, Pauktaw, Myebon, Maungdaw, Kyauktaw, Kyaukpyu, Rathedaung, Ramree",11
