Day,Place,run,Muslim,Instance
1,Myebon,3,6531,myanmar2017_demo
1,Myebon,4,6559,myanmar2017_demo
1,Myebon,5,6462,myanmar2017_demo
1,Myebon,6,6526,myanmar2017_demo
1,Myebon,7,6417,myanmar2017_demo
1,Myebon,8,6427,myanmar2017_demo
1,Myebon,9,6431,myanmar2017_demo
1,Myebon,10,6644,myanmar2017_demo
1,Pauktaw,1,2370,myanmar2017_demo
1,Pauktaw,2,2307,myanmar2017_demo
1,Pauktaw,3,2371,myanmar2017_demo
1,Pauktaw,4,2401,myanmar2017_demo
1,Pauktaw,5,2363,myanmar2017_demo
1,Pauktaw,6,2384,myanmar2017_demo
1,Pauktaw,7,2315,myanmar2017_demo
1,Pauktaw,8,2291,myanmar2017_demo
1,Pauktaw,9,2378,myanmar2017_demo
1,Pauktaw,10,2352,myanmar2017_demo
1,Ramree,1,617,myanmar2017_demo
1,Ramree,2,544,myanmar2017_demo
1,Ramree,3,618,myanmar2017_demo
1,Ramree,4,608,myanmar2017_demo
1,Ramree,5,587,myanmar2017_demo
1,Ramree,6,569,myanmar2017_demo
1,Ramree,7,662,myanmar2017_demo
1,Ramree,8,625,myanmar2017_demo
1,Ramree,9,604,myanmar2017_demo
1,Ramree,10,616,myanmar2017_demo
1,Rathedaung,1,4510,myanmar2017_demo
1,Rathedaung,2,4620,myanmar2017_demo
1,Rathedaung,3,4539,myanmar2017_demo
1,Rathedaung,4,4607,myanmar2017_demo
1,Rathedaung,5,4548,myanmar2017_demo
1,Rathedaung,6,4687,myanmar2017_demo
1,Rathedaung,7,4603,myanmar2017_demo
1,Rathedaung,8,4640,myanmar2017_demo
1,Rathedaung,9,4758,myanmar2017_demo
1,Rathedaung,10,4576,myanmar2017_demo
1,Sittwe,1,12143,myanmar2017_demo
1,Sittwe,2,12171,myanmar2017_demo
1,Sittwe,3,12216,myanmar2017_demo
1,Sittwe,4,12249,myanmar2017_demo
1,Sittwe,5,12271,myanmar2017_demo
1,Sittwe,6,12096,myanmar2017_demo
1,Sittwe,7,12385,myanmar2017_demo
1,Sittwe,8,12231,myanmar2017_demo
1,Sittwe,9,12149,myanmar2017_demo
1,Sittwe,10,12157,myanmar2017_demo
2,Cox's Bazar,1,74209,myanmar2017_demo
2,Cox's Bazar,2,73604,myanmar2017_demo
2,Cox's Bazar,3,73909,myanmar2017_demo
2,Cox's Bazar,4,74048,myanmar2017_demo
2,Cox's Bazar,5,74078,myanmar2017_demo
2,Cox's Bazar,6,73652,myanmar2017_demo
2,Cox's Bazar,7,73601,myanmar2017_demo
2,Cox's Bazar,8,73980,myanmar2017_demo
2,Cox's Bazar,9,73509,myanmar2017_demo
2,Cox's Bazar,10,73787,myanmar2017_demo
2,Kyaukpyu,1,235,myanmar2017_demo
2,Kyaukpyu,2,262,myanmar2017_demo
2,Kyaukpyu,3,233,myanmar2017_demo
2,Kyaukpyu,4,275,myanmar2017_demo
2,Kyaukpyu,5,250,myanmar2017_demo
2,Kyaukpyu,6,246,myanmar2017_demo
2,Kyaukpyu,7,232,myanmar2017_demo
2,Kyaukpyu,8,253,myanmar2017_demo
2,Kyaukpyu,9,238,myanmar2017_demo
2,Kyaukpyu,10,245,myanmar2017_demo
2,Kyauktaw,1,4393,myanmar2017_demo
2,Kyauktaw,2,4403,myanmar2017_demo
2,Kyauktaw,3,4144,myanmar2017_demo
2,Kyauktaw,4,4180,myanmar2017_demo
2,Kyauktaw,5,4188,myanmar2017_demo
2,Kyauktaw,6,4369,myanmar2017_demo
2,Kyauktaw,7,4200,myanmar2017_demo
2,Kyauktaw,8,4318,myanmar2017_demo
2,Kyauktaw,9,4398,myanmar2017_demo
2,Kyauktaw,10,4278,myanmar2017_demo
2,Maungdaw,1,1385,myanmar2017_demo
2,Maungdaw,2,1373,myanmar2017_demo
2,Maungdaw,3,1375,myanmar2017_demo
2,Maungdaw,4,1376,myanmar2017_demo
2,Maungdaw,5,1462,myanmar2017_demo
2,Maungdaw,6,1467,myanmar2017_demo
2,Maungdaw,7,1355,myanmar2017_demo
2,Maungdaw,8,1413,myanmar2017_demo
2,Maungdaw,9,1443,myanmar2017_demo
2,Maungdaw,10,1397,myanmar2017_demo
2,Myebon,1,7064,myanmar2017_demo
2,Myebon,2,6852,myanmar2017_demo
2,Myebon,3,6986,myanmar2017_demo
2,Myebon,4,7007,myanmar2017_demo
2,Myebon,5,6808,myanmar2017_demo
2,Myebon,6,6947,myanmar2017_demo
2,Myebon,7,6854,myanmar2017_demo
2,Myebon,8,6874,myanmar2017_demo
2,Myebon,9,6866,myanmar2017_demo
2,Myebon,10,7048,myanmar2017_demo
2,Pauktaw,1,2507,myanmar2017_demo
2,Pauktaw,2,2412,myanmar2017_demo
2,Pauktaw,3,2537,myanmar2017_demo
2,Pauktaw,4,2569,myanmar2017_demo
2,Pauktaw,5,2542,myanmar2017_demo
2,Pauktaw,6,2539,myanmar2017_demo
2,Pauktaw,7,2488,myanmar2017_demo
2,Pauktaw,8,2429,myanmar2017_demo
2,Pauktaw,9,2514,myanmar2017_demo
2,Pauktaw,10,2520,myanmar2017_demo
2,Ramree,1,1553,myanmar2017_demo
2,Ramree,2,1429,myanmar2017_demo
2,Ramree,3,1491,myanmar2017_demo
2,Ramree,4,1447,myanmar2017_demo
2,Ramree,5,1435,myanmar2017_demo
2,Ramree,6,1433,myanmar2017_demo
2,Ramree,7,1530,myanmar2017_demo
2,Ramree,8,1497,myanmar2017_demo
2,Ramree,9,1442,myanmar2017_demo
2,Ramree,10,1547,myanmar2017_demo
2,Rathedaung,1,6178,myanmar2017_demo
2,Rathedaung,2,6087,myanmar2017_demo
2,Rathedaung,3,6074,myanmar2017_demo
2,Rathedaung,4,6125,myanmar2017_demo
2,Rathedaung,5,6226,myanmar2017_demo
2,Rathedaung,6,6276,myanmar2017_demo
2,Rathedaung,7,6159,myanmar2017_demo
2,Rathedaung,8,6110,myanmar2017_demo
2,Rathedaung,9,6527,myanmar2017_demo
2,Rathedaung,10,6197,myanmar2017_demo
2,Sittwe,1,11099,myanmar2017_demo
2,Sittwe,2,11301,myanmar2017_demo
2,Sittwe,3,11290,myanmar2017_demo
2,Sittwe,4,11395,myanmar2017_demo
2,Sittwe,5,11410,myanmar2017_demo
2,Sittwe,6,11198,myanmar2017_demo
2,Sittwe,7,11471,myanmar2017_demo
2,Sittwe,8,11309,myanmar2017_demo
2,Sittwe,9,11227,myanmar2017_demo
2,Sittwe,10,11174,myanmar2017_demo
3,Cox's Bazar,1,75951,myanmar2017_demo
3,Cox's Bazar,2,75305,myanmar2017_demo
3,Cox's Bazar,3,75735,myanmar2017_demo
3,Cox's Bazar,4,75843,myanmar2017_demo
3,Cox's Bazar,5,75731,myanmar2017_demo
3,Cox's Bazar,6,75468,myanmar2017_demo
3,Cox's Bazar,7,75339,myanmar2017_demo
3,Cox's Bazar,8,75792,myanmar2017_demo
3,Cox's Bazar,9,75325,myanmar2017_demo
3,Cox's Bazar,10,75555,myanmar2017_demo
3,Kyaukpyu,1,229,myanmar2017_demo
3,Kyaukpyu,2,253,myanmar2017_demo
3,Kyaukpyu,3,222,myanmar2017_demo
3,Kyaukpyu,4,267,myanmar2017_demo
3,Kyaukpyu,5,237,myanmar2017_demo
3,Kyaukpyu,6,235,myanmar2017_demo
3,Kyaukpyu,7,227,myanmar2017_demo
3,Kyaukpyu,8,241,myanmar2017_demo
3,Kyaukpyu,9,230,myanmar2017_demo
3,Kyaukpyu,10,236,myanmar2017_demo
3,Kyauktaw,1,5893,myanmar2017_demo
3,Kyauktaw,2,5784,myanmar2017_demo
3,Kyauktaw,3,5484,myanmar2017_demo
3,Kyauktaw,4,5423,myanmar2017_demo
3,Kyauktaw,5,5621,myanmar2017_demo
3,Kyauktaw,6,5772,myanmar2017_demo
3,Kyauktaw,7,5601,myanmar2017_demo
3,Kyauktaw,8,5782,myanmar2017_demo
3,Kyauktaw,9,5741,myanmar2017_demo
3,Kyauktaw,10,5636,myanmar2017_demo
3,Maungdaw,1,1441,myanmar2017_demo
3,Maungdaw,2,1407,myanmar2017_demo
3,Maungdaw,3,1428,myanmar2017_demo
3,Maungdaw,4,1426,myanmar2017_demo
3,Maungdaw,5,1484,myanmar2017_demo
3,Maungdaw,6,1530,myanmar2017_demo
3,Maungdaw,7,1376,myanmar2017_demo
3,Maungdaw,8,1443,myanmar2017_demo
3,Maungdaw,9,1499,myanmar2017_demo
3,Maungdaw,10,1459,myanmar2017_demo
3,Myebon,1,7380,myanmar2017_demo
3,Myebon,2,7124,myanmar2017_demo
3,Myebon,3,7309,myanmar2017_demo
3,Myebon,4,7300,myanmar2017_demo
3,Myebon,5,7130,myanmar2017_demo
3,Myebon,6,7268,myanmar2017_demo
3,Myebon,7,7214,myanmar2017_demo
3,Myebon,8,7171,myanmar2017_demo
3,Myebon,9,7233,myanmar2017_demo
3,Myebon,10,7345,myanmar2017_demo
3,Pauktaw,1,2745,myanmar2017_demo
3,Pauktaw,2,2640,myanmar2017_demo
3,Pauktaw,3,2810,myanmar2017_demo
3,Pauktaw,4,2828,myanmar2017_demo
3,Pauktaw,5,2757,myanmar2017_demo
3,Pauktaw,6,2822,myanmar2017_demo
3,Pauktaw,7,2712,myanmar2017_demo
3,Pauktaw,8,2763,myanmar2017_demo
3,Pauktaw,9,2732,myanmar2017_demo
3,Pauktaw,10,2751,myanmar2017_demo
3,Ramree,1,2680,myanmar2017_demo
3,Ramree,2,2607,myanmar2017_demo
3,Ramree,3,2613,myanmar2017_demo
3,Ramree,4,2564,myanmar2017_demo
3,Ramree,5,2533,myanmar2017_demo
3,Ramree,6,2606,myanmar2017_demo
3,Ramree,7,2597,myanmar2017_demo
3,Ramree,8,2592,myanmar2017_demo
3,Ramree,9,2523,myanmar2017_demo
3,Ramree,10,2659,myanmar2017_demo
3,Rathedaung,1,7522,myanmar2017_demo
3,Rathedaung,2,7534,myanmar2017_demo
3,Rathedaung,3,7501,myanmar2017_demo
3,Rathedaung,4,7616,myanmar2017_demo
3,Rathedaung,5,7656,myanmar2017_demo
3,Rathedaung,6,7716,myanmar2017_demo
3,Rathedaung,7,7667,myanmar2017_demo
3,Rathedaung,8,7556,myanmar2017_demo
3,Rathedaung,9,7933,myanmar2017_demo
3,Rathedaung,10,7637,myanmar2017_demo
3,Sittwe,1,10426,myanmar2017_demo
3,Sittwe,2,10594,myanmar2017_demo
3,Sittwe,3,10604,myanmar2017_demo
3,Sittwe,4,10666,myanmar2017_demo
3,Sittwe,5,10666,myanmar2017_demo
3,Sittwe,6,10445,myanmar2017_demo
3,Sittwe,7,10740,myanmar2017_demo
3,Sittwe,8,10498,myanmar2017_demo
3,Sittwe,9,10591,myanmar2017_demo
3,Sittwe,10,10576,myanmar2017_demo
4,Cox's Bazar,1,77666,myanmar2017_demo
4,Cox's Bazar,2,77081,myanmar2017_demo
4,Cox's Bazar,3,77439,myanmar2017_demo
4,Cox's Bazar,4,77539,myanmar2017_demo
4,Cox's Bazar,5,77436,myanmar2017_demo
4,Cox's Bazar,6,77155,myanmar2017_demo
4,Cox's Bazar,7,77083,myanmar2017_demo
4,Cox's Bazar,8,77471,myanmar2017_demo
4,Cox's Bazar,9,77066,myanmar2017_demo
4,Cox's Bazar,10,77281,myanmar2017_demo
4,Kyaukpyu,1,219,myanmar2017_demo
4,Kyaukpyu,2,234,myanmar2017_demo
4,Kyaukpyu,3,211,myanmar2017_demo
4,Kyaukpyu,4,260,myanmar2017_demo
4,Kyaukpyu,5,230,myanmar2017_demo
4,Kyaukpyu,6,226,myanmar2017_demo
4,Kyaukpyu,7,218,myanmar2017_demo
4,Kyaukpyu,8,230,myanmar2017_demo
4,Kyaukpyu,9,221,myanmar2017_demo
4,Kyaukpyu,10,223,myanmar2017_demo
4,Kyauktaw,1,7147,myanmar2017_demo
4,Kyauktaw,2,7006,myanmar2017_demo
4,Kyauktaw,3,6812,myanmar2017_demo
4,Kyauktaw,4,6675,myanmar2017_demo
4,Kyauktaw,5,6874,myanmar2017_demo
4,Kyauktaw,6,7065,myanmar2017_demo
4,Kyauktaw,7,6916,myanmar2017_demo
4,Kyauktaw,8,7084,myanmar2017_demo
4,Kyauktaw,9,6956,myanmar2017_demo
4,Kyauktaw,10,6879,myanmar2017_demo
4,Maungdaw,1,1459,myanmar2017_demo
4,Maungdaw,2,1460,myanmar2017_demo
4,Maungdaw,3,1469,myanmar2017_demo
4,Maungdaw,4,1474,myanmar2017_demo
4,Maungdaw,5,1537,myanmar2017_demo
4,Maungdaw,6,1564,myanmar2017_demo
4,Maungdaw,7,1411,myanmar2017_demo
4,Maungdaw,8,1492,myanmar2017_demo
4,Maungdaw,9,1561,myanmar2017_demo
4,Maungdaw,10,1492,myanmar2017_demo
4,Myebon,1,7610,myanmar2017_demo
4,Myebon,2,7421,myanmar2017_demo
4,Myebon,3,7510,myanmar2017_demo
4,Myebon,4,7602,myanmar2017_demo
4,Myebon,5,7390,myanmar2017_demo
4,Myebon,6,7471,myanmar2017_demo
4,Myebon,7,7491,myanmar2017_demo
4,Myebon,8,7403,myanmar2017_demo
4,Myebon,9,7456,myanmar2017_demo
4,Myebon,10,7591,myanmar2017_demo
4,Pauktaw,1,3103,myanmar2017_demo
4,Pauktaw,2,3011,myanmar2017_demo
4,Pauktaw,3,3121,myanmar2017_demo
4,Pauktaw,4,3177,myanmar2017_demo
4,Pauktaw,5,3157,myanmar2017_demo
4,Pauktaw,6,3210,myanmar2017_demo
4,Pauktaw,7,3153,myanmar2017_demo
4,Pauktaw,8,3131,myanmar2017_demo
4,Pauktaw,9,3091,myanmar2017_demo
4,Pauktaw,10,3155,myanmar2017_demo
4,Ramree,1,4032,myanmar2017_demo
4,Ramree,2,4073,myanmar2017_demo
4,Ramree,3,4028,myanmar2017_demo
4,Ramree,4,3932,myanmar2017_demo
4,Ramree,5,3873,myanmar2017_demo
4,Ramree,6,4009,myanmar2017_demo
4,Ramree,7,3878,myanmar2017_demo
4,Ramree,8,3953,myanmar2017_demo
4,Ramree,9,3943,myanmar2017_demo
4,Ramree,10,3997,myanmar2017_demo
4,Rathedaung,1,8866,myanmar2017_demo
4,Rathedaung,2,8813,myanmar2017_demo
4,Rathedaung,3,8736,myanmar2017_demo
4,Rathedaung,4,8923,myanmar2017_demo
