Day,Place,mean,std,count,stderr,Instance
0,Cox's Bazar,70355.9,203.45157764058894,10,64.33703788988468,myanmar2017_demo
0,Kyaukpyu,270.1,13.303717107969822,10,4.207004740773285,myanmar2017_demo
0,Kyauktaw,1012.8,19.286149319020524,10,6.09881591422102,myanmar2017_demo
0,Maungdaw,1957.7,52.07697294496975,10,16.46818481530709,myanmar2017_demo
0,Myebon,3925.7,52.563295178289565,10,16.621973408714137,myanmar2017_demo
0,Pauktaw,2353.4,36.05921056632643,10,11.402923601720163,myanmar2017_demo
0,Ramree,166.4,10.76207332358511,10,3.4032664048267254,myanmar2017_demo
0,Rathedaung,2616.0,49.29277612163648,10,15.587744473713235,myanmar2017_demo
0,Sittwe,13434.0,84.56161461719297,10,26.74073048117172,myanmar2017_demo
1,Cox's Bazar,72141.7,220.73918747899913,10,69.80386012885586,myanmar2017_demo
1,Kyaukpyu,256.3,13.123769783615284,10,4.150100400391942,myanmar2017_demo
1,Kyauktaw,2727.8,46.84679521826674,10,14.814257396920777,myanmar2017_demo
1,Maungdaw,1616.7,57.43798588236031,10,18.163485960085474,myanmar2017_demo
1,Myebon,6508.8,82.94817659237621,10,26.230516578977298,myanmar2017_demo
1,Pauktaw,2353.2,36.52639836854678,10,11.550661356726621,myanmar2017_demo
1,Ramree,605.0,32.37626016423488,10,10.238272423715937,myanmar2017_demo
1,Rathedaung,4608.8,73.72441175681826,10,23.313706030764138,myanmar2017_demo
1,Sittwe,12206.8,82.85033360088411,10,26.199575908357346,myanmar2017_demo
2,Cox's Bazar,73837.7,240.57987816477532,10,76.07803742064995,myanmar2017_demo
2,Kyaukpyu,246.9,13.76347824255676,10,4.352393977265079,myanmar2017_demo
2,Kyauktaw,4287.1,102.22355675457365,10,32.325926986794265,myanmar2017_demo
2,Maungdaw,1404.6,39.90043163230747,10,12.617624358192165,myanmar2017_demo
2,Myebon,6930.6,91.41261765569703,10,28.907207867012428,myanmar2017_demo
2,Pauktaw,2505.7,50.18200208574117,10,15.86894241382623,myanmar2017_demo
2,Ramree,1480.4,49.54728381388159,10,15.668226872666008,myanmar2017_demo
2,Rathedaung,6195.9,132.39540945381927,10,41.86710456246581,myanmar2017_demo
2,Sittwe,11287.4,115.93599766921213,10,36.66218154386828,myanmar2017_demo
3,Cox's Bazar,75604.4,236.76673940587435,10,74.87221706941047,myanmar2017_demo
3,Kyaukpyu,237.7,13.375350462698163,10,4.22965719651132,myanmar2017_demo
3,Kyauktaw,5673.7,147.00721826571035,10,46.487764220515274,myanmar2017_demo
3,Maungdaw,1449.3,45.39713647357066,10,14.355835050598762,myanmar2017_demo
3,Myebon,7247.4,88.35810973281154,10,27.941287650277616,myanmar2017_demo
3,Pauktaw,2756.0,56.39148871948678,10,17.83255450012702,myanmar2017_demo
3,Ramree,2597.4,49.27744582125445,10,15.58289660707106,myanmar2017_demo
3,Rathedaung,7633.8,126.64368212517435,10,40.04824867859043,myanmar2017_demo
3,Sittwe,10580.6,99.97910892892678,10,31.616170264948607,myanmar2017_demo
4,Cox's Bazar,77321.7,217.20909025381252,10,68.68754536951285,myanmar2017_demo
4,Kyaukpyu,227.2,13.373273512661154,10,4.229000407240988,myanmar2017_demo
4,Kyauktaw,6941.4,141.05333900494665,10,44.60498228274999,myanmar2017_demo
4,Maungdaw,1491.9,48.87273723093935,10,15.454916513667891,myanmar2017_demo
4,Myebon,7494.5,82.45571201829777,10,26.074785606874038,myanmar2017_demo
4,Pauktaw,3130.9,54.7488203830304,10,17.313097161782824,myanmar2017_demo
4,Ramree,3971.8,66.97395845484355,10,21.17902526347969,myanmar2017_demo
4,Rathedaung,8916.1,134.4176327718944,10,42.506587724727865,myanmar2017_demo
4,Sittwe,10087.1,106.76396603931698,10,33.76173047171076,myanmar2017_demo
5,Cox's Bazar,78992.0,224.14479447198968,10,70.88080762018058,myanmar2017_demo
5,Kyaukpyu,215.9,10.47165486232026,10,3.3114280236108944,myanmar2017_demo
5,Kyauktaw,8113.0,134.86289333986568,10,42.64739147943281,myanmar2017_demo
5,Maungdaw,1576.9,46.29962802826345,10,14.641227938788324,myanmar2017_demo
5,Myebon,7721.0,59.18896293510579,10,18.717193521821926,myanmar2017_demo
5,Pauktaw,3551.5,56.950758457538406,10,18.009411119991906,myanmar2017_demo
5,Ramree,5487.6,89.74680433803124,10,28.380431442965875,myanmar2017_demo
5,Rathedaung,10065.9,160.67251026717526,10,50.80910898210628,myanmar2017_demo
5,Sittwe,9783.9,100.15593397852733,10,31.672087255359607,myanmar2017_demo
6,Cox's Bazar,80778.8,233.0239854130387,10,73.68865433550545,myanmar2017_demo
6,Kyaukpyu,207.9,9.56207787739325,10,3.023794525647095,myanmar2017_demo
6,Kyauktaw,9283.8,133.63366176063428,10,42.25867432321512,myanmar2017_demo
6,Maungdaw,1805.2,48.26500917964393,10,15.262736029660976,myanmar2017_demo
6,Myebon,7948.4,79.64532489592708,10,25.186063165524263,myanmar2017_demo
6,Pauktaw,3980.8,56.20952865049768,10,17.775013674006328,myanmar2017_demo
6,Ramree,7060.4,110.65883506425413,10,34.99339620239481,myanmar2017_demo
6,Rathedaung,11347.5,159.20025823541326,10,50.34354201108844,myanmar2017_demo
6,Sittwe,9559.9,107.8954741095907,10,34.11954474100344,myanmar2017_demo
7,Cox's Bazar,82482.5,218.65256560224225,10,69.14401235424717,myanmar2017_demo
7,Kyaukpyu,198.9,11.28863735502799,10,3.5697805721547273,myanmar2017_demo
7,Kyauktaw,10459.1,157.85116055604104,10,49.91691986580206,myanmar2017_demo
7,Maungdaw,2059.4,42.59420930909114,10,13.469471655067492,myanmar2017_demo
7,Myebon,8186.8,71.87303620505638,10,22.72824967597229,myanmar2017_demo
7,Pauktaw,4404.9,57.46003442006926,10,18.170458319909116,myanmar2017_demo
7,Ramree,8818.7,113.96398066445758,10,36.03857501190753,myanmar2017_demo
7,Rathedaung,12699.9,175.17131297358276,10,55.39403297187241,myanmar2017_demo
7,Sittwe,9714.2,111.91246579358338,10,35.38982904734066,myanmar2017_demo
8,Cox's Bazar,84406.3,235.75554665326217,10,74.5524498442395,myanmar2017_demo
8,Kyaukpyu,190.7,11.652848960185182,10,3.6849543944109926,myanmar2017_demo
8,Kyauktaw,11607.5,122.8669108335435,10,38.85392873028148,myanmar2017_demo
8,Maungdaw,2291.1,43.717400552996175,10,13.824655912937255,myanmar2017_demo
8,Myebon,8444.7,79.25212930893407,10,25.061723803441787,myanmar2017_demo
8,Pauktaw,4851.4,63.2669827881109,10,20.006776629710046,myanmar2017_demo
8,Ramree,10759.7,138.14569603622596,10,43.68550484237687,myanmar2017_demo
