Day,Place,Muslim,run,Instance
12,Cox's Bazar,92913,1,myanmar2017_demo
12,Kyaukpyu,160,1,myanmar2017_demo
12,Kyauktaw,16010,1,myanmar2017_demo
12,Maungdaw,3160,1,myanmar2017_demo
12,Myebon,9744,1,myanmar2017_demo
12,Paletwa,9478,1,myanmar2017_demo
12,Pauktaw,6804,1,myanmar2017_demo
12,Ramree,19921,1,myanmar2017_demo
12,Rathedaung,18761,1,myanmar2017_demo
12,Sittwe,11966,1,myanmar2017_demo
13,Buthidaung,9420,1,myanmar2017_demo
13,Cox's Bazar,95035,1,myanmar2017_demo
13,Kyaukpyu,151,1,myanmar2017_demo
13,Kyauktaw,16927,1,myanmar2017_demo
13,Maungdaw,3484,1,myanmar2017_demo
13,Myebon,10048,1,myanmar2017_demo
13,Paletwa,10569,1,myanmar2017_demo
13,Pauktaw,7303,1,myanmar2017_demo
13,Ramree,22569,1,myanmar2017_demo
13,Rathedaung,20219,1,myanmar2017_demo
13,Sittwe,12689,1,myanmar2017_demo
14,Buthidaung,9946,1,myanmar2017_demo
14,Cox's Bazar,97238,1,myanmar2017_demo
14,Kyaukpyu,145,1,myanmar2017_demo
14,Kyauktaw,17714,1,myanmar2017_demo
14,Maungdaw,3866,1,myanmar2017_demo
14,Myebon,10389,1,myanmar2017_demo
14,Paletwa,11671,1,myanmar2017_demo
14,Pauktaw,7931,1,myanmar2017_demo
14,Ramree,25145,1,myanmar2017_demo
14,Rathedaung,22092,1,myanmar2017_demo
14,Sittwe,13573,1,myanmar2017_demo
0,Buthidaung,1122,2,myanmar2017_demo
0,Cox's Bazar,70186,2,myanmar2017_demo
0,Kyaukpyu,281,2,myanmar2017_demo
0,Kyauktaw,1013,2,myanmar2017_demo
0,Maungdaw,1911,2,myanmar2017_demo
0,Myebon,3851,2,myanmar2017_demo
0,Paletwa,506,2,myanmar2017_demo
0,Pauktaw,2336,2,myanmar2017_demo
0,Ramree,147,2,myanmar2017_demo
0,Rathedaung,2580,2,myanmar2017_demo
0,Sittwe,13475,2,myanmar2017_demo
1,Buthidaung,2453,2,myanmar2017_demo
1,Cox's Bazar,71948,2,myanmar2017_demo
1,Kyaukpyu,270,2,myanmar2017_demo
1,Kyauktaw,2731,2,myanmar2017_demo
1,Maungdaw,1564,2,myanmar2017_demo
1,Myebon,6461,2,myanmar2017_demo
1,Paletwa,1497,2,myanmar2017_demo
1,Pauktaw,2307,2,myanmar2017_demo
1,Ramree,544,2,myanmar2017_demo
1,Rathedaung,4620,2,myanmar2017_demo
1,Sittwe,12171,2,myanmar2017_demo
2,Buthidaung,3281,2,myanmar2017_demo
2,Cox's Bazar,73604,2,myanmar2017_demo
2,Kyaukpyu,262,2,myanmar2017_demo
2,Kyauktaw,4403,2,myanmar2017_demo
2,Maungdaw,1373,2,myanmar2017_demo
2,Myebon,6852,2,myanmar2017_demo
2,Paletwa,2438,2,myanmar2017_demo
2,Pauktaw,2412,2,myanmar2017_demo
2,Ramree,1429,2,myanmar2017_demo
2,Rathedaung,6087,2,myanmar2017_demo
2,Sittwe,11301,2,myanmar2017_demo
3,Buthidaung,4024,2,myanmar2017_demo
3,Cox's Bazar,75305,2,myanmar2017_demo
3,Kyaukpyu,253,2,myanmar2017_demo
3,Kyauktaw,5784,2,myanmar2017_demo
3,Maungdaw,1407,2,myanmar2017_demo
3,Myebon,7124,2,myanmar2017_demo
3,Paletwa,3322,2,myanmar2017_demo
3,Pauktaw,2640,2,myanmar2017_demo
3,Ramree,2607,2,myanmar2017_demo
3,Rathedaung,7534,2,myanmar2017_demo
3,Sittwe,10594,2,myanmar2017_demo
4,Buthidaung,4822,2,myanmar2017_demo
4,Cox's Bazar,77081,2,myanmar2017_demo
4,Kyaukpyu,234,2,myanmar2017_demo
4,Kyauktaw,7006,2,myanmar2017_demo
4,Maungdaw,1460,2,myanmar2017_demo
4,Myebon,7421,2,myanmar2017_demo
4,Paletwa,4164,2,myanmar2017_demo
4,Pauktaw,3011,2,myanmar2017_demo
4,Ramree,4073,2,myanmar2017_demo
4,Rathedaung,8813,2,myanmar2017_demo
4,Sittwe,10025,2,myanmar2017_demo
5,Buthidaung,5550,2,myanmar2017_demo
5,Cox's Bazar,78701,2,myanmar2017_demo
5,Kyaukpyu,221,2,myanmar2017_demo
5,Kyauktaw,8174,2,myanmar2017_demo
5,Maungdaw,1543,2,myanmar2017_demo
5,Myebon,7679,2,myanmar2017_demo
5,Paletwa,4955,2,myanmar2017_demo
5,Pauktaw,3424,2,myanmar2017_demo
5,Ramree,5611,2,myanmar2017_demo
5,Rathedaung,9873,2,myanmar2017_demo
5,Sittwe,9746,2,myanmar2017_demo
6,Buthidaung,6397,2,myanmar2017_demo
6,Cox's Bazar,80477,2,myanmar2017_demo
6,Kyaukpyu,215,2,myanmar2017_demo
6,Kyauktaw,9322,2,myanmar2017_demo
6,Maungdaw,1745,2,myanmar2017_demo
6,Myebon,7815,2,myanmar2017_demo
6,Paletwa,5476,2,myanmar2017_demo
6,Pauktaw,3888,2,myanmar2017_demo
6,Ramree,7252,2,myanmar2017_demo
6,Rathedaung,11210,2,myanmar2017_demo
6,Sittwe,9471,2,myanmar2017_demo
7,Buthidaung,6955,2,myanmar2017_demo
7,Cox's Bazar,82226,2,myanmar2017_demo
7,Kyaukpyu,206,2,myanmar2017_demo
7,Kyauktaw,10383,2,myanmar2017_demo
7,Maungdaw,2054,2,myanmar2017_demo
7,Myebon,8078,2,myanmar2017_demo
7,Paletwa,6097,2,myanmar2017_demo
7,Pauktaw,4351,2,myanmar2017_demo
7,Ramree,8941,2,myanmar2017_demo
7,Rathedaung,12597,2,myanmar2017_demo
7,Sittwe,9639,2,myanmar2017_demo
8,Buthidaung,7338,2,myanmar2017_demo
8,Cox's Bazar,84100,2,myanmar2017_demo
8,Kyaukpyu,196,2,myanmar2017_demo
8,Kyauktaw,11515,2,myanmar2017_demo
8,Maungdaw,2259,2,myanmar2017_demo
8,Myebon,8361,2,myanmar2017_demo
8,Paletwa,6688,2,myanmar2017_demo
8,Pauktaw,4783,2,myanmar2017_demo
8,Ramree,10803,2,myanmar2017_demo
8,Rathedaung,13972,2,myanmar2017_demo
8,Sittwe,9984,2,myanmar2017_demo
9,Buthidaung,7670,2,myanmar2017_demo
9,Cox's Bazar,86125,2,myanmar2017_demo
9,Kyaukpyu,186,2,myanmar2017_demo
9,Kyauktaw,12641,2,myanmar2017_demo
9,Maungdaw,2512,2,myanmar2017_demo
9,Myebon,8631,2,myanmar2017_demo
9,Paletwa,7338,2,myanmar2017_demo
9,Pauktaw,5168,2,myanmar2017_demo
9,Ramree,12863,2,myanmar2017_demo
9,Rathedaung,15162,2,myanmar2017_demo
9,Sittwe,10373,2,myanmar2017_demo
10,Buthidaung,8033,2,myanmar2017_demo
10,Cox's Bazar,88173,2,myanmar2017_demo
10,Kyaukpyu,182,2,myanmar2017_demo
10,Kyauktaw,13673,2,myanmar2017_demo
10,Maungdaw,2723,2,myanmar2017_demo
10,Myebon,9009,2,myanmar2017_demo
10,Paletwa,8010,2,myanmar2017_demo
10,Pauktaw,5608,2,myanmar2017_demo
10,Ramree,15157,2,myanmar2017_demo
10,Rathedaung,16402,2,myanmar2017_demo
10,Sittwe,10799,2,myanmar2017_demo
11,Buthidaung,8318,2,myanmar2017_demo
11,Cox's Bazar,90247,2,myanmar2017_demo
11,Kyaukpyu,178,2,myanmar2017_demo
11,Kyauktaw,14586,2,myanmar2017_demo
11,Maungdaw,2987,2,myanmar2017_demo
11,Myebon,9352,2,myanmar2017_demo
11,Paletwa,8683,2,myanmar2017_demo
11,Pauktaw,6117,2,myanmar2017_demo
11,Ramree,17631,2,myanmar2017_demo
11,Rathedaung,17576,2,myanmar2017_demo
11,Sittwe,11348,2,myanmar2017_demo
12,Buthidaung,8654,2,myanmar2017_demo
12,Cox's Bazar,92348,2,myanmar2017_demo
12,Kyaukpyu,168,2,myanmar2017_demo
12,Kyauktaw,15415,2,myanmar2017_demo
12,Maungdaw,3209,2,myanmar2017_demo
12,Myebon,9729,2,myanmar2017_demo
12,Paletwa,9361,2,myanmar2017_demo
12,Pauktaw,6593,2,myanmar2017_demo
12,Ramree,20173,2,myanmar2017_demo
12,Rathedaung,18673,2,myanmar2017_demo
12,Sittwe,11969,2,myanmar2017_demo
13,Buthidaung,9436,2,myanmar2017_demo
13,Cox's Bazar,94404,2,myanmar2017_demo
13,Kyaukpyu,163,2,myanmar2017_demo
13,Kyauktaw,16294,2,myanmar2017_demo
13,Maungdaw,3539,2,myanmar2017_demo
13,Myebon,10097,2,myanmar2017_demo
13,Paletwa,10329,2,myanmar2017_demo
13,Pauktaw,7151,2,myanmar2017_demo
13,Ramree,22726,2,myanmar2017_demo
13,Rathedaung,20240,2,myanmar2017_demo
13,Sittwe,12447,2,myanmar2017_demo
14,Buthidaung,9971,2,myanmar2017_demo
14,Cox's Bazar,96496,2,myanmar2017_demo
14,Kyaukpyu,154,2,myanmar2017_demo
14,Kyauktaw,17172,2,myanmar2017_demo
14,Maungdaw,3923,2,myanmar2017_demo
14,Myebon,10373,2,myanmar2017_demo
14,Paletwa,11420,2,myanmar2017_demo
14,Pauktaw,7781,2,myanmar2017_demo
14,Ramree,25410,2,myanmar2017_demo
14,Rathedaung,22096,2,myanmar2017_demo
14,Sittwe,13235,2,myanmar2017_demo
0,Buthidaung,1029,3,myanmar2017_demo
0,Cox's Bazar,70440,3,myanmar2017_demo
0,Kyaukpyu,254,3,myanmar2017_demo
0,Kyauktaw,995,3,myanmar2017_demo
0,Maungdaw,1941,3,myanmar2017_demo
0,Myebon,3983,3,myanmar2017_demo
0,Paletwa,522,3,myanmar2017_demo
0,Pauktaw,2346,3,myanmar2017_demo
0,Ramree,170,3,myanmar2017_demo
0,Rathedaung,2538,3,myanmar2017_demo
0,Sittwe,13401,3,myanmar2017_demo
1,Buthidaung,2348,3,myanmar2017_demo
1,Cox's Bazar,72213,3,myanmar2017_demo
1,Kyaukpyu,242,3,myanmar2017_demo
1,Kyauktaw,2683,3,myanmar2017_demo
1,Maungdaw,1607,3,myanmar2017_demo
1,Myebon,6531,3,myanmar2017_demo
1,Paletwa,1567,3,myanmar2017_demo
1,Pauktaw,2371,3,myanmar2017_demo
1,Ramree,618,3,myanmar2017_demo
1,Rathedaung,4539,3,myanmar2017_demo
1,Sittwe,12216,3,myanmar2017_demo
2,Buthidaung,3155,3,myanmar2017_demo
2,Cox's Bazar,73909,3,myanmar2017_demo
2,Kyaukpyu,233,3,myanmar2017_demo
2,Kyauktaw,4144,3,myanmar2017_demo
2,Maungdaw,1375,3,myanmar2017_demo
2,Myebon,6986,3,myanmar2017_demo
2,Paletwa,2492,3,myanmar2017_demo
2,Pauktaw,2537,3,myanmar2017_demo
2,Ramree,1491,3,myanmar2017_demo
2,Rathedaung,6074,3,myanmar2017_demo
2,Sittwe,11290,3,myanmar2017_demo
3,Buthidaung,3965,3,myanmar2017_demo
3,Cox's Bazar,75735,3,myanmar2017_demo
3,Kyaukpyu,222,3,myanmar2017_demo
3,Kyauktaw,5484,3,myanmar2017_demo
3,Maungdaw,1428,3,myanmar2017_demo
3,Myebon,7309,3,myanmar2017_demo
3,Paletwa,3358,3,myanmar2017_demo
3,Pauktaw,2810,3,myanmar2017_demo
3,Ramree,2613,3,myanmar2017_demo
3,Rathedaung,7501,3,myanmar2017_demo
3,Sittwe,10604,3,myanmar2017_demo
4,Buthidaung,4756,3,myanmar2017_demo
4,Cox's Bazar,77439,3,myanmar2017_demo
4,Kyaukpyu,211,3,myanmar2017_demo
4,Kyauktaw,6812,3,myanmar2017_demo
4,Maungdaw,1469,3,myanmar2017_demo
4,Myebon,7510,3,myanmar2017_demo
4,Paletwa,4228,3,myanmar2017_demo
4,Pauktaw,3121,3,myanmar2017_demo
4,Ramree,4028,3,myanmar2017_demo
4,Rathedaung,8736,3,myanmar2017_demo
4,Sittwe,10068,3,myanmar2017_demo
5,Buthidaung,5454,3,myanmar2017_demo
5,Cox's Bazar,79070,3,myanmar2017_demo
5,Kyaukpyu,204,3,myanmar2017_demo
5,Kyauktaw,8004,3,myanmar2017_demo
5,Maungdaw,1542,3,myanmar2017_demo
5,Myebon,7743,3,myanmar2017_demo
5,Paletwa,5136,3,myanmar2017_demo
5,Pauktaw,3534,3,myanmar2017_demo
5,Ramree,5541,3,myanmar2017_demo
5,Rathedaung,9903,3,myanmar2017_demo
5,Sittwe,9848,3,myanmar2017_demo
6,Buthidaung,6295,3,myanmar2017_demo
6,Cox's Bazar,80870,3,myanmar2017_demo
6,Kyaukpyu,199,3,myanmar2017_demo
6,Kyauktaw,9186,3,myanmar2017_demo
6,Maungdaw,1789,3,myanmar2017_demo
6,Myebon,8032,3,myanmar2017_demo
6,Paletwa,5649,3,myanmar2017_demo
6,Pauktaw,3939,3,myanmar2017_demo
6,Ramree,7117,3,myanmar2017_demo
6,Rathedaung,11207,3,myanmar2017_demo
6,Sittwe,9636,3,myanmar2017_demo
7,Buthidaung,6899,3,myanmar2017_demo
7,Cox's Bazar,82523,3,myanmar2017_demo
7,Kyaukpyu,188,3,myanmar2017_demo
7,Kyauktaw,10298,3,myanmar2017_demo
7,Maungdaw,2041,3,myanmar2017_demo
7,Myebon,8317,3,myanmar2017_demo
7,Paletwa,6244,3,myanmar2017_demo
7,Pauktaw,4359,3,myanmar2017_demo
7,Ramree,8863,3,myanmar2017_demo
7,Rathedaung,12546,3,myanmar2017_demo
7,Sittwe,9778,3,myanmar2017_demo
8,Buthidaung,7284,3,myanmar2017_demo
8,Cox's Bazar,84454,3,myanmar2017_demo
8,Kyaukpyu,179,3,myanmar2017_demo
8,Kyauktaw,11587,3,myanmar2017_demo
8,Maungdaw,2228,3,myanmar2017_demo
8,Myebon,8608,3,myanmar2017_demo
8,Paletwa,6859,3,myanmar2017_demo
8,Pauktaw,4785,3,myanmar2017_demo
8,Ramree,10805,3,myanmar2017_demo
8,Rathedaung,13849,3,myanmar2017_demo
8,Sittwe,10116,3,myanmar2017_demo
9,Buthidaung,7569,3,myanmar2017_demo
9,Cox's Bazar,86476,3,myanmar2017_demo
9,Kyaukpyu,175,3,myanmar2017_demo
9,Kyauktaw,12795,3,myanmar2017_demo
9,Maungdaw,2509,3,myanmar2017_demo
9,Myebon,8880,3,myanmar2017_demo
9,Paletwa,7510,3,myanmar2017_demo
9,Pauktaw,5203,3,myanmar2017_demo
9,Ramree,12942,3,myanmar2017_demo
9,Rathedaung,15134,3,myanmar2017_demo
9,Sittwe,10510,3,myanmar2017_demo
10,Buthidaung,7803,3,myanmar2017_demo
10,Cox's Bazar,88374,3,myanmar2017_demo
10,Kyaukpyu,170,3,myanmar2017_demo
10,Kyauktaw,13786,3,myanmar2017_demo
10,Maungdaw,2747,3,myanmar2017_demo
10,Myebon,9099,3,myanmar2017_demo
10,Paletwa,8072,3,myanmar2017_demo
10,Pauktaw,5774,3,myanmar2017_demo
10,Ramree,15178,3,myanmar2017_demo
10,Rathedaung,16422,3,myanmar2017_demo
10,Sittwe,11018,3,myanmar2017_demo
11,Buthidaung,8183,3,myanmar2017_demo
11,Cox's Bazar,90395,3,myanmar2017_demo
11,Kyaukpyu,161,3,myanmar2017_demo
11,Kyauktaw,14769,3,myanmar2017_demo
11,Maungdaw,2981,3,myanmar2017_demo
11,Myebon,9418,3,myanmar2017_demo
11,Paletwa,8710,3,myanmar2017_demo
11,Pauktaw,6204,3,myanmar2017_demo
11,Ramree,17659,3,myanmar2017_demo
11,Rathedaung,17669,3,myanmar2017_demo
11,Sittwe,11609,3,myanmar2017_demo
12,Buthidaung,8504,3,myanmar2017_demo
12,Cox's Bazar,92545,3,myanmar2017_demo
12,Kyaukpyu,157,3,myanmar2017_demo
12,Kyauktaw,15832,3,myanmar2017_demo
12,Maungdaw,3190,3,myanmar2017_demo
12,Myebon,9729,3,myanmar2017_demo
12,Paletwa,9426,3,myanmar2017_demo
12,Pauktaw,6663,3,myanmar2017_demo
12,Ramree,20216,3,myanmar2017_demo
12,Rathedaung,18722,3,myanmar2017_demo
12,Sittwe,12248,3,myanmar2017_demo
13,Buthidaung,9384,3,myanmar2017_demo
13,Cox's Bazar,94548,3,myanmar2017_demo
13,Kyaukpyu,150,3,myanmar2017_demo
13,Kyauktaw,16846,3,myanmar2017_demo
13,Maungdaw,3512,3,myanmar2017_demo
13,Myebon,10060,3,myanmar2017_demo
13,Paletwa,10331,3,myanmar2017_demo
13,Pauktaw,7169,3,myanmar2017_demo
13,Ramree,22854,3,myanmar2017_demo
13,Rathedaung,20171,3,myanmar2017_demo
13,Sittwe,12892,3,myanmar2017_demo
14,Buthidaung,9880,3,myanmar2017_demo
