Day,Place,Muslim,run
6,Buthidaung,6397,2
6,Cox's Bazar,80477,2
6,Kyaukpyu,215,2
6,Kyauktaw,9322,2
6,Maungdaw,1745,2
6,Myebon,7815,2
6,Paletwa,5476,2
6,Pauktaw,3888,2
6,Ramree,7252,2
6,Rathedaung,11210,2
6,Sittwe,9471,2
7,Buthidaung,6955,2
7,Cox's Bazar,82226,2
7,Kyaukpyu,206,2
7,Kyauktaw,10383,2
7,Maungdaw,2054,2
7,Myebon,8078,2
7,Paletwa,6097,2
7,Pauktaw,4351,2
7,Ramree,8941,2
7,Rathedaung,12597,2
7,Sittwe,9639,2
8,Buthidaung,7338,2
8,Cox's Bazar,84100,2
8,Kyaukpyu,196,2
8,Kyauktaw,11515,2
8,Maungdaw,2259,2
8,Myebon,8361,2
8,Paletwa,6688,2
8,Pauktaw,4783,2
8,Ramree,10803,2
8,Rathedaung,13972,2
8,Sittwe,9984,2
9,Buthidaung,7670,2
9,Cox's Bazar,86125,2
9,Kyaukpyu,186,2
9,Kyauktaw,12641,2
9,Maungdaw,2512,2
9,Myebon,8631,2
9,Paletwa,7338,2
9,Pauktaw,5168,2
9,Ramree,12863,2
9,Rathedaung,15162,2
9,Sittwe,10373,2
10,Buthidaung,8033,2
10,Cox's Bazar,88173,2
10,Kyaukpyu,182,2
10,Kyauktaw,13673,2
10,Maungdaw,2723,2
10,Myebon,9009,2
10,Paletwa,8010,2
10,Pauktaw,5608,2
10,Ramree,15157,2
10,Rathedaung,16402,2
10,Sittwe,10799,2
11,Buthidaung,8318,2
11,Cox's Bazar,90247,2
11,Kyaukpyu,178,2
11,Kyauktaw,14586,2
11,Maungdaw,2987,2
11,Myebon,9352,2
11,Paletwa,8683,2
11,Pauktaw,6117,2
11,Ramree,17631,2
11,Rathedaung,17576,2
11,Sittwe,11348,2
12,Buthidaung,8654,2
12,Cox's Bazar,92348,2
12,Kyaukpyu,168,2
12,Kyauktaw,15415,2
12,Maungdaw,3209,2
12,Myebon,9729,2
12,Paletwa,9361,2
12,Pauktaw,6593,2
12,Ramree,20173,2
12,Rathedaung,18673,2
12,Sittwe,11969,2
13,Buthidaung,9436,2
13,Cox's Bazar,94404,2
13,Kyaukpyu,163,2
13,Kyauktaw,16294,2
13,Maungdaw,3539,2
13,Myebon,10097,2
13,Paletwa,10329,2
13,Pauktaw,7151,2
13,Ramree,22726,2
13,Rathedaung,20240,2
13,Sittwe,12447,2
14,Buthidaung,9971,2
14,Cox's Bazar,96496,2
14,Kyaukpyu,154,2
14,Kyauktaw,17172,2
14,Maungdaw,3923,2
14,Myebon,10373,2
14,Paletwa,11420,2
14,Pauktaw,7781,2
14,Ramree,25410,2
14,Rathedaung,22096,2
14,Sittwe,13235,2
0,Buthidaung,1029,3
0,Cox's Bazar,70440,3
0,Kyaukpyu,254,3
0,Kyauktaw,995,3
0,Maungdaw,1941,3
0,Myebon,3983,3
0,Paletwa,522,3
0,Pauktaw,2346,3
0,Ramree,170,3
0,Rathedaung,2538,3
0,Sittwe,13401,3
1,Buthidaung,2348,3
1,Cox's Bazar,72213,3
1,Kyaukpyu,242,3
1,Kyauktaw,2683,3
1,Maungdaw,1607,3
1,Myebon,6531,3
1,Paletwa,1567,3
1,Pauktaw,2371,3
1,Ramree,618,3
1,Rathedaung,4539,3
1,Sittwe,12216,3
2,Buthidaung,3155,3
