Location,Mean_Error,Mean_Std,Max_Mean_Error,Min_Mean_Error
Cox's Bazar,0.012834000000000002,0.0006210852737905232,0.03576,0.0006000000000000001
Kyaukpyu,0.3962426666666667,0.009616618258764675,0.6166699999999999,0.10590999999999999
Kyauktaw,41.20433466666667,0.2763850253378937,64.67308999999999,0.1718
Myebon,4.0284086666666665,0.03186682271675736,5.70971,0.9601900000000001
Pauktaw,0.43224999999999997,0.0043299704848673674,0.48869999999999997,0.28453
Sittwe,0.6550953333333333,0.001542702132612152,0.8440899999999999,0.279
Ramree,57.56641466666667,0.31806785445948843,128.21287999999998,0.34622
Maungdaw,0.7032466666666667,0.02249976721014823,3.077,0.12733
Rathedaung,0.7345846666666667,0.019224488707478945,0.9734999999999999,0.21774
Total,0.2161318723277072,0.0007146967417252167,0.2914039165727849,0.07819709092654928
