Day,Place,mean,std,count,stderr
0,Cox's Bazar,70318.5,130.06515461277237,10,41.13021327983163
0,Kyauktaw,1014.7,26.25536982113268,10,8.302676944482693
0,Ramree,169.1,15.387224137792584,10,4.865867514294514
0,Rathedaung,2585.3,70.73589376452853,10,22.368653662361233
0,Sittwe,13526.3,131.58609349015572,10,41.611176383274724
1,Cox's Bazar,72090.8,140.7873100342026,10,44.520856535635836
1,Kyauktaw,2706.7,53.802209785266065,10,17.013752607163944
1,Ramree,603.3,25.042408474869642,10,7.919104887689156
1,Rathedaung,4598.3,62.23441348821585,10,19.680249546746662
1,Sittwe,12302.0,121.66529679594126,10,38.473945007556054
2,Cox's Bazar,73819.3,159.31244632970711,10,50.37901900152067
2,Kyauktaw,4252.6,82.24921478855182,10,26.00948544922281
2,Ramree,1498.6,38.187257909761854,10,12.075871259112814
2,Rathedaung,6146.7,95.14088967888031,10,30.086191000006753
2,Sittwe,11391.5,93.78491942264019,10,29.65739555509066
3,Cox's Bazar,75555.7,143.38375082274848,10,45.341923205792696
3,Kyauktaw,5635.1,93.35291461259624,10,29.520783639101932
3,Ramree,2643.2,50.91779867808721,10,16.10162172646662
3,Rathedaung,7616.3,105.08414617713646,10,33.2305247893827
3,Sittwe,10710.7,112.50585169966341,10,35.577474146806225
4,Cox's Bazar,77241.8,142.42409284324916,10,45.0384527067954
4,Kyauktaw,6910.4,89.63902919797589,10,28.34634995119402
4,Ramree,4012.6,50.62761653046241,10,16.009858074185264
4,Rathedaung,8936.4,99.35928072740249,10,31.42016337746635
4,Sittwe,10168.2,92.39504556221858,10,29.217878849164336
5,Cox's Bazar,78907.9,145.18222266440975,10,45.91064993852543
5,Kyauktaw,8122.3,85.3854658462304,10,27.001255114860452
5,Ramree,5511.7,86.23230897471736,10,27.269050425548592
5,Rathedaung,10105.7,115.15501629446183,10,36.41521354843023
5,Sittwe,9840.1,92.54602458596831,10,29.265622608560115
6,Cox's Bazar,80676.3,137.6340154984291,10,43.523697248995084
6,Kyauktaw,9311.2,100.46646759546744,10,31.770286607317704
6,Ramree,7099.2,115.5583546669532,10,36.54276034091205
6,Rathedaung,11354.6,125.2288571642602,10,39.60084174189569
6,Sittwe,9642.5,74.37330763714148,10,23.51890492537628
7,Cox's Bazar,82405.7,156.89065548265776,10,49.61318149219823
7,Kyauktaw,10494.7,114.07215065718522,10,36.07278136705785
7,Ramree,8852.0,141.26098777322315,10,44.67064658885821
7,Rathedaung,12748.0,129.00990487383382,10,40.79651401229724
7,Sittwe,9752.8,84.92977491237414,10,26.85715298885296
8,Cox's Bazar,84313.6,183.10846815784157,10,57.90398182431954
8,Kyauktaw,11648.9,97.589218439106,10,30.860420534327698
8,Ramree,10817.0,164.19432931066086,10,51.92280595054329
8,Rathedaung,14059.7,104.4509986123213,10,33.030305949402205
8,Sittwe,10092.6,65.94307309254619,10,20.853030688340937
9,Cox's Bazar,86318.1,168.29171102582552,10,53.21851181684806
9,Kyauktaw,12812.3,132.9277581579138,10,42.035448003903575
9,Ramree,12922.6,185.75264316946988,10,58.740143381204305
9,Rathedaung,15316.0,124.94709991743623,10,39.5117422771735
9,Sittwe,10531.4,63.10344241358354,10,19.9550606224197
10,Cox's Bazar,88325.7,190.2425644626716,10,60.159981161344916
10,Kyauktaw,13909.8,136.39468872031313,10,43.13178771058662
10,Ramree,15255.2,214.86833177553166,10,67.94733254514112
10,Rathedaung,16538.5,146.4902347902034,10,46.32427969098809
10,Sittwe,11038.3,59.130834220020624,10,18.698811608109114
11,Cox's Bazar,90366.7,195.47665390583646,10,61.815145573089254
11,Kyauktaw,14939.6,121.00247931344212,10,38.26434371578845
11,Ramree,17704.0,232.79079783263683,10,73.61491394789209
11,Rathedaung,17719.6,140.8586367801262,10,44.54341203315651
11,Sittwe,11579.0,72.07866073487621,10,22.793273861675477
12,Cox's Bazar,92412.6,213.119788955514,10,67.39439475538215
12,Kyauktaw,15953.3,132.26072735320935,10,41.82451434266748
12,Ramree,20279.3,261.410724085043,10,82.66532929025715
12,Rathedaung,18846.5,170.23986346068082,10,53.83457170918261
12,Sittwe,12151.1,70.00706313572158,10,22.138177180808963
13,Cox's Bazar,94463.3,213.27606002028867,10,67.44381200508893
13,Kyauktaw,16853.1,124.8932433009177,10,39.49471131964661
13,Ramree,22858.4,320.28709343684517,10,101.28367204155978
13,Rathedaung,20385.4,159.78402089487304,10,50.52814397277345
13,Sittwe,12761.8,91.94418596808255,10,29.07530452692344
14,Cox's Bazar,96625.2,220.4428875393057,10,69.71016186085568
14,Kyauktaw,17711.1,119.6861172679044,10,37.848073486858695
14,Ramree,25529.7,342.4058832568289,10,108.27824753332919
14,Rathedaung,22273.5,151.74192272114894,10,47.98500923320859
14,Sittwe,13656.3,78.93182712526907,10,24.960435359451086
