Instance,Mean_Transition_Probability,Std_Transition_Probability,Number_of_Runs
myanmar2017,0.1779440443867312,0.000795357803490586,10
myanmar2017_demo,0.1780998701452013,0.0010212962949090287,10
myanmar2017_network,0.1774340691771928,0.0008693923910116121,10
