Day,Place,Muslim,run
6,Buthidaung,6338,2
6,Cox's Bazar,80479,2
6,Kyaukpyu,205,2
6,Kyauktaw,9487,2
6,Maungdaw,1855,2
6,Myebon,8061,2
6,Paletwa,5372,2
6,Pauktaw,3959,2
6,Ramree,6962,2
6,Rathedaung,11431,2
6,Sittwe,9603,2
7,Buthidaung,6906,2
7,Cox's Bazar,82194,2
7,Kyaukpyu,195,2
7,Kyauktaw,10657,2
7,Maungdaw,2121,2
7,Myebon,8344,2
7,Paletwa,5944,2
7,Pauktaw,4377,2
7,Ramree,8698,2
7,Rathedaung,12875,2
7,Sittwe,9696,2
8,Buthidaung,7303,2
8,Cox's Bazar,84064,2
8,Kyaukpyu,185,2
8,Kyauktaw,11736,2
8,Maungdaw,2321,2
8,Myebon,8625,2
8,Paletwa,6588,2
8,Pauktaw,4908,2
8,Ramree,10656,2
8,Rathedaung,14097,2
8,Sittwe,10125,2
9,Buthidaung,7694,2
9,Cox's Bazar,86075,2
9,Kyaukpyu,175,2
9,Kyauktaw,12988,2
9,Maungdaw,2568,2
9,Myebon,8899,2
9,Paletwa,7200,2
9,Pauktaw,5266,2
9,Ramree,12824,2
9,Rathedaung,15348,2
9,Sittwe,10537,2
10,Buthidaung,7935,2
10,Cox's Bazar,88053,2
10,Kyaukpyu,170,2
10,Kyauktaw,14089,2
10,Maungdaw,2827,2
10,Myebon,9154,2
10,Paletwa,7877,2
10,Pauktaw,5708,2
10,Ramree,15333,2
10,Rathedaung,16575,2
10,Sittwe,11051,2
11,Buthidaung,8253,2
11,Cox's Bazar,90069,2
11,Kyaukpyu,167,2
11,Kyauktaw,15111,2
11,Maungdaw,3079,2
11,Myebon,9546,2
11,Paletwa,8517,2
11,Pauktaw,6258,2
11,Ramree,17739,2
11,Rathedaung,17663,2
11,Sittwe,11553,2
12,Buthidaung,8550,2
12,Cox's Bazar,92085,2
12,Kyaukpyu,164,2
12,Kyauktaw,16080,2
12,Maungdaw,3260,2
12,Myebon,9922,2
12,Paletwa,9234,2
12,Pauktaw,6762,2
12,Ramree,20341,2
12,Rathedaung,18823,2
12,Sittwe,12096,2
13,Buthidaung,9434,2
13,Cox's Bazar,94131,2
13,Kyaukpyu,159,2
13,Kyauktaw,16947,2
13,Maungdaw,3578,2
13,Myebon,10268,2
13,Paletwa,10275,2
13,Pauktaw,7316,2
13,Ramree,22895,2
13,Rathedaung,20360,2
13,Sittwe,12736,2
14,Buthidaung,9915,2
14,Cox's Bazar,96277,2
14,Kyaukpyu,151,2
14,Kyauktaw,17874,2
14,Maungdaw,3951,2
14,Myebon,10655,2
14,Paletwa,11376,2
14,Pauktaw,7951,2
14,Ramree,25535,2
14,Rathedaung,22200,2
14,Sittwe,13602,2
0,Buthidaung,1144,3
0,Cox's Bazar,70337,3
0,Kyaukpyu,291,3
0,Kyauktaw,999,3
0,Maungdaw,2044,3
0,Myebon,3882,3
0,Paletwa,487,3
0,Pauktaw,2289,3
0,Ramree,190,3
0,Rathedaung,2575,3
0,Sittwe,13474,3
1,Buthidaung,2515,3
1,Cox's Bazar,72169,3
1,Kyaukpyu,282,3
1,Kyauktaw,2735,3
1,Maungdaw,1632,3
1,Myebon,6405,3
1,Paletwa,1535,3
1,Pauktaw,2261,3
1,Ramree,633,3
1,Rathedaung,4630,3
1,Sittwe,12282,3
2,Buthidaung,3334,3
2,Cox's Bazar,73903,3
2,Kyaukpyu,259,3
2,Kyauktaw,4303,3
2,Maungdaw,1453,3
2,Myebon,6777,3
2,Paletwa,2465,3
2,Pauktaw,2458,3
2,Ramree,1572,3
2,Rathedaung,6152,3
2,Sittwe,11443,3
3,Buthidaung,4103,3
3,Cox's Bazar,75629,3
3,Kyaukpyu,246,3
3,Kyauktaw,5662,3
3,Maungdaw,1510,3
3,Myebon,7020,3
3,Paletwa,3334,3
3,Pauktaw,2720,3
3,Ramree,2718,3
3,Rathedaung,7643,3
3,Sittwe,10783,3
4,Buthidaung,4898,3
4,Cox's Bazar,77375,3
4,Kyaukpyu,234,3
4,Kyauktaw,6913,3
4,Maungdaw,1563,3
4,Myebon,7319,3
4,Paletwa,4165,3
4,Pauktaw,3042,3
4,Ramree,4081,3
4,Rathedaung,8939,3
4,Sittwe,10228,3
5,Buthidaung,5596,3
5,Cox's Bazar,79046,3
5,Kyaukpyu,225,3
5,Kyauktaw,8022,3
5,Maungdaw,1635,3
5,Myebon,7585,3
5,Paletwa,5055,3
5,Pauktaw,3468,3
5,Ramree,5516,3
5,Rathedaung,10120,3
5,Sittwe,9962,3
6,Buthidaung,6458,3
6,Cox's Bazar,80818,3
6,Kyaukpyu,215,3
6,Kyauktaw,9225,3
6,Maungdaw,1885,3
6,Myebon,7818,3
6,Paletwa,5562,3
6,Pauktaw,3888,3
6,Ramree,7100,3
6,Rathedaung,11344,3
6,Sittwe,9629,3
7,Buthidaung,7055,3
7,Cox's Bazar,82645,3
7,Kyaukpyu,208,3
7,Kyauktaw,10402,3
7,Maungdaw,2133,3
7,Myebon,8058,3
7,Paletwa,6190,3
7,Pauktaw,4317,3
7,Ramree,8855,3
7,Rathedaung,12697,3
7,Sittwe,9711,3
8,Buthidaung,7391,3
8,Cox's Bazar,84499,3
8,Kyaukpyu,199,3
8,Kyauktaw,11494,3
8,Maungdaw,2357,3
8,Myebon,8327,3
8,Paletwa,6790,3
8,Pauktaw,4793,3
8,Ramree,10806,3
8,Rathedaung,14028,3
8,Sittwe,10117,3
9,Buthidaung,7712,3
9,Cox's Bazar,86479,3
9,Kyaukpyu,189,3
9,Kyauktaw,12563,3
9,Maungdaw,2619,3
9,Myebon,8617,3
9,Paletwa,7432,3
9,Pauktaw,5214,3
9,Ramree,12766,3
9,Rathedaung,15358,3
9,Sittwe,10480,3
10,Buthidaung,8004,3
10,Cox's Bazar,88585,3
10,Kyaukpyu,178,3
10,Kyauktaw,13691,3
10,Maungdaw,2801,3
10,Myebon,8940,3
10,Paletwa,8086,3
10,Pauktaw,5620,3
10,Ramree,15009,3
10,Rathedaung,16515,3
10,Sittwe,11028,3
11,Buthidaung,8312,3
11,Cox's Bazar,90605,3
11,Kyaukpyu,169,3
11,Kyauktaw,14776,3
11,Maungdaw,3046,3
11,Myebon,9284,3
11,Paletwa,8768,3
11,Pauktaw,6099,3
11,Ramree,17437,3
11,Rathedaung,17783,3
11,Sittwe,11477,3
12,Buthidaung,8610,3
12,Cox's Bazar,92729,3
12,Kyaukpyu,162,3
12,Kyauktaw,15791,3
12,Maungdaw,3282,3
12,Myebon,9609,3
12,Paletwa,9398,3
12,Pauktaw,6658,3
12,Ramree,19965,3
12,Rathedaung,18924,3
12,Sittwe,12120,3
13,Buthidaung,9452,3
13,Cox's Bazar,94694,3
13,Kyaukpyu,159,3
13,Kyauktaw,16720,3
13,Maungdaw,3645,3
13,Myebon,9968,3
13,Paletwa,10328,3
13,Pauktaw,7171,3
13,Ramree,22460,3
13,Rathedaung,20438,3
13,Sittwe,12802,3
14,Buthidaung,9980,3
14,Cox's Bazar,96911,3
14,Kyaukpyu,150,3
14,Kyauktaw,17597,3
14,Maungdaw,4023,3
14,Myebon,10312,3
14,Paletwa,11575,3
14,Pauktaw,7720,3
14,Ramree,25086,3
14,Rathedaung,22373,3
14,Sittwe,13694,3
0,Buthidaung,1039,4
0,Cox's Bazar,70563,4
0,Kyaukpyu,249,4
0,Kyauktaw,1057,4
0,Maungdaw,1920,4
0,Myebon,3950,4
0,Paletwa,526,4
0,Pauktaw,2314,4
0,Ramree,176,4
0,Rathedaung,2581,4
0,Sittwe,13350,4
1,Buthidaung,2417,4
1,Cox's Bazar,72291,4
1,Kyaukpyu,238,4
1,Kyauktaw,2708,4
1,Maungdaw,1581,4
1,Myebon,6597,4
1,Paletwa,1572,4
1,Pauktaw,2336,4
1,Ramree,619,4
1,Rathedaung,4573,4
1,Sittwe,12149,4
2,Buthidaung,3218,4
2,Cox's Bazar,74112,4
2,Kyaukpyu,223,4
2,Kyauktaw,4244,4
2,Maungdaw,1367,4
2,Myebon,6991,4
2,Paletwa,2499,4
2,Pauktaw,2529,4
2,Ramree,1519,4
2,Rathedaung,6050,4
2,Sittwe,11287,4
3,Buthidaung,4016,4
3,Cox's Bazar,75790,4
3,Kyaukpyu,215,4
3,Kyauktaw,5704,4
3,Maungdaw,1415,4
3,Myebon,7278,4
3,Paletwa,3326,4
3,Pauktaw,2787,4
3,Ramree,2671,4
3,Rathedaung,7646,4
3,Sittwe,10469,4
4,Buthidaung,4720,4
4,Cox's Bazar,77427,4
4,Kyaukpyu,207,4
