Location,Mean_Error,Mean_Std,Max_Mean_Error,Min_Mean_Error
Cox's Bazar,0.012687333333333333,0.0008773409731635083,0.035179999999999996,0.00083
Kyaukpyu,0.38622799999999996,0.011132890528256415,0.6096199999999999,0.10585
Kyauktaw,41.266761333333335,0.2959999623369746,64.66208,0.1575
Myebon,4.012792666666667,0.03596265513145512,5.709490000000001,0.9618
Pauktaw,0.4307,0.004261270310203543,0.48602999999999996,0.28347
Sittwe,0.6554786666666667,0.0013496062499038612,0.84425,0.27931999999999996
Ramree,57.23187466666668,0.44870083095834695,127.59319999999998,0.3356
Maungdaw,0.706782,0.022000710334155873,3.09861,0.12674999999999997
Rathedaung,0.7302686666666667,0.016964113277100137,0.9653,0.21400000000000002
Total,0.21587734346493903,0.0006891367342999259,0.29065302093285983,0.07827723170842048
