myanmar2017,1,67.766,124.343,3.881
myanmar2017,2,67.716,124.791,3.833
myanmar2017,3,69.235,127.741,4.112
myanmar2017,4,66.637,125.004,4.025
myanmar2017,5,66.006,124.030,3.742
myanmar2017,6,66.115,123.493,3.906
myanmar2017,7,70.243,128.558,4.610
myanmar2017,8,64.147,120.340,3.150
myanmar2017,9,63.797,121.507,3.317
myanmar2017,10,64.111,121.420,3.397
myanmar2017_demo,1,303.118,587.523,8.196
myanmar2017_demo,2,281.334,549.019,5.514
myanmar2017_demo,3,306.909,592.374,8.823
myanmar2017_demo,4,313.398,601.668,9.306
myanmar2017_demo,5,309.258,592.204,8.309
myanmar2017_demo,6,309.775,591.420,8.193
myanmar2017_demo,7,282.323,553.256,5.058
myanmar2017_demo,8,296.252,575.908,7.107
myanmar2017_demo,9,274.736,529.040,6.634
myanmar2017_demo,10,195.360,385.621,2.419
myanmar2017_network,1,197.274,388.553,2.513
myanmar2017_network,2,249.592,488.747,4.674
myanmar2017_network,3,261.953,513.248,5.064
myanmar2017_network,4,252.027,494.209,4.931
myanmar2017_network,5,225.105,437.750,3.769
myanmar2017_network,6,194.993,384.874,2.296
myanmar2017_network,7,195.628,385.775,2.342
myanmar2017_network,8,242.287,474.394,4.243
myanmar2017_network,9,244.946,479.527,4.374
myanmar2017_network,10,238.780,467.498,4.334
